PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"LODDING, AR; FISCHER, PM; ODELIUS, H; NOREN, JG; SENNERBY, L; JOHANSSON, CB; CHABALA, JM; LEVISETTI, R",,,,"LODDING, AR; FISCHER, PM; ODELIUS, H; NOREN, JG; SENNERBY, L; JOHANSSON, CB; CHABALA, JM; LEVISETTI, R",,,SECONDARY ION MASS-SPECTROMETRY IN THE STUDY OF BIOMINERALIZATIONS AND BIOMATERIALS,ANALYTICA CHIMICA ACTA,,,English,Article; Proceedings Paper,2ND INTERNATIONAL SYMP ON APPLIED MASS SPECTROMETRY IN THE HEALTH SCIENCES,"APR 17-20, 1990","BARCELONA, SPAIN","ASTRA, APPL BIOSYST, BOEHRINGER MANNHEIM, COMISSIO INTERDEPT RECERCA & INNOVAC TECHNOL, CONSEJO SUPER INVESTIGAC CIEN, CONSELLERIA ENSENYAMENT GENERALITAT CATALUNYA, FINNIGAN MAT, FONDO INVESTIGAC SANITARIA, REAL SOC ESPANOLA QUIMICA, GRP CROMATOG & TECN AFINES, HEWLETT PACKARD",,BIOMINERALIZATION; BIOMATERIALS; BONE; TEETH,ENAMEL,"Secondary ion mass spectrometry (SIMS) has developed into a powerful tool for the combined microanalytical and microstructural characterization of biomineralized tissues. The technique now routinely permits quantitative sub-mu-g g-1 analysis of more than 40 elements in bone and tooth tissues at sub-micrometer morphological resolution in three dimensions. Two recent applications of modern SIMS are presented: element distributions in recovering tissue at implanted titanium-base screws in rabbit tibia bone and high-resolution topography and elemental imaging of human dental enamel and dentine. By step-scan and quantitative profiling, the composition of the interface layer between the screw and the bone tissue was studied, and upper concentration limits of element leakage were determined. By high-resolution SIMS imaging new microstructures were detected in the recovery layer. The element distributions and morphologies of the dental tissues are presented in micrographs at very high lateral resolution (ca. 20 nm). For the first time SIMS imaging of individual apatite crystallites and their arrays is demonstrated.","GOTHENBURG UNIV,SCH DENT,S-40033 GOTHENBURG,SWEDEN; UNIV CHICAGO,ENRICO FERMI INST,CHICAGO,IL 60637; UNIV GOTHENBURG,DEPT HANDICAP RES,S-41312 GOTHENBURG,SWEDEN","LODDING, AR (reprint author), CHALMERS UNIV TECHNOL,DEPT PHYS,S-41296 GOTHENBURG,SWEDEN.",,,,,,,26,27,28,1,15,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0003-2670,,,ANAL CHIM ACTA,Anal. Chim. Acta,DEC 28,1990.0,241.0,2,,,,,299,314,,10.1016/S0003-2670(00)83660-0,,,,16,"Chemistry, Analytical",Chemistry,EU533,WOS:A1990EU53300018,,,,,2019-02-25
J,"ZAIDER, M; ORR, DE; FRY, JL",,,,"ZAIDER, M; ORR, DE; FRY, JL",,,CALCULATIONAL ASPECTS OF THE ASSESSMENT OF DIELECTRIC RESPONSE FUNCTION AND ENERGY-LOSS IN MATERIALS - APPLICATIONS TO ICE AND POLYACETYLENE,INTERNATIONAL JOURNAL OF SUPERCOMPUTER APPLICATIONS AND HIGH PERFORMANCE COMPUTING,,,English,Article,,,,,,,EXCHANGE-CORRELATION POTENTIALS; HARTREE-FOCK; QUASIPARTICLE ENERGIES; ELECTRON CORRELATION; TRANS-POLYACETYLENE; LIQUID WATER; BAND-GAPS; SEMICONDUCTORS; INSULATORS; OPERATORS,"Understanding the effects of low doses of ionizing radiation on living systems requires detailed information on electron transport in biomaterials. This, in turn, can be obtained from the wave-vector- and frequency-dependent dielectric response function of the system, epsion(q,w), via the energy-loss function, lm[-1/epsilon(q,w)]. We describe two different possible approaches to obtaining these functions, one based on the semiempirical tight-binding approximation, the other using Hedin's many-body treatment of quasiparticle states in solids. These methods are exemplified with calculations for cubi ice (as a model for cellular ""structured"" water) and trans-polyacetylene. The availability of supercomputers makes the application of these techniques feasible.","UNIV TEXAS, ARLINGTON, TX 76019 USA","ZAIDER, M (reprint author), COLUMBIA UNIV, COLL PHYSICIANS & SURGEONS, CTR RADIOL RES, NEW YORK, NY 10027 USA.",,,,,,,35,2,2,0,0,SAGE PUBLICATIONS INC,THOUSAND OAKS,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",1078-3482,,,INT J SUPERCOMPUT AP,Int. J. Supercomput. Appl. High Perform. Comput.,WIN,1990.0,4.0,4,,,,,25,39,,10.1177/109434209000400403,,,,15,"Computer Science, Hardware & Architecture; Computer Science, Interdisciplinary Applications",Computer Science,EP060,WOS:A1990EP06000003,,,,,2019-02-25
J,"DANIELS, AUD",,,,"DANIELS, AUD",,,APPLIED BIOMATERIALS STANDARDS REPORT,JOURNAL OF APPLIED BIOMATERIALS,,,English,Editorial Material,,,,,,,,,,,,,,,,,1,0,0,1,1,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",1045-4861,,,J APPL BIOMATER,J. Appl. Biomater.,WIN,1990.0,1.0,4,,,,,331,332,,10.1002/jab.770010410,,,,2,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,EK453,WOS:A1990EK45300009,,,,,2019-02-25
J,"LEMONS, JE",,,,"LEMONS, JE",,,DENTAL IMPLANT BIOMATERIALS,JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,,,English,Article,,,,,,,,,,"LEMONS, JE (reprint author), UNIV ALABAMA,SCH DENT,BIRMINGHAM,AL 35294, USA.",,,,,,,19,20,22,0,1,AMER DENTAL ASSN,CHICAGO,"211 E CHICAGO AVE, CHICAGO, IL 60611",0002-8177,,,J AM DENT ASSOC,J. Am. Dent. Assoc.,DEC,1990.0,121.0,6,,,,,716,719,,10.14219/jada.archive.1990.0268,,,,4,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine",EM556,WOS:A1990EM55600015,2277157.0,,,,2019-02-25
J,"MURAKAMI, T",,,,"MURAKAMI, T",,,THE LUBRICATION IN NATURAL SYNOVIAL JOINTS AND JOINT PROSTHESES,JSME INTERNATIONAL JOURNAL SERIES III-VIBRATION CONTROL ENGINEERING ENGINEERING FOR INDUSTRY,,,English,Review,,,,,,LUBRICATION; FRICTION; WEAR; TRIBOLOGY; BIOTRIBOLOGY; NATURAL SYNOVIAL JOINT; JOINT PROSTHESIS; BIOMATERIALS; ARTIFICIAL CARTILAGE,COMPLIANT SURFACE; MIXED LUBRICATION; FILM,"Natural joints exhibiting excellent performance under reciprocating slow speed and high loading conditions have a prominent lubrication mechanism as an adaptive multimode lubrication, where elastohydrodynamic fluid film plays the main role supported by various supplimental lubrication mechanisms. In contrast, most of the existing joint prostheses operate not under fluid film but under mixed lubrication, which induces some tribological problems such as loosening and wear. Thus, recent investigations on the lubrication mechanisms in natural synovial joints and total replacement joints are reviewed, and then subjects on lubrication and wear in joint prostheses and optimum design of joint prostheses with artificial cartilage are discussed.",,"MURAKAMI, T (reprint author), KYUSHU UNIV,FAC ENGN,6-10-1 HAKOZAKI,HIGASHI KU,FUKUOKA 812,JAPAN.",,,,,,,55,53,53,1,16,JAPAN SOC MECHANICAL ENGINEERS SANSHIN HOKUSEI BLDG,TOKYO,"4-9 YOYOGI 2-CHOME SHIBUYA-KU, TOKYO 151, JAPAN",0914-8825,,,JSME INT J III-VIB C,,DEC,1990.0,33.0,4,,,,,465,474,,10.1299/jsmec1988.33.465,,,,10,"Engineering, Mechanical",Engineering,EV405,WOS:A1990EV40500001,,Bronze,,,2019-02-25
J,"STEFLIK, DE; MCKINNEY, RV; SISK, AL; PARR, GR; KOTH, DL",,,,"STEFLIK, DE; MCKINNEY, RV; SISK, AL; PARR, GR; KOTH, DL",,,SCANNING ELECTRON-MICROSCOPIC STUDIES OF THE ORAL-TISSUE RESPONSES TO DENTAL IMPLANTS,SCANNING MICROSCOPY,,,English,Article,,,,,,DENTAL IMPLANTS; TISSUE INTERFACE; SCANNING ELECTRON MICROSCOPY; EPITHELIAL ATTACHMENT; IMPLANT SUPPORT TISSUES,TITANIUM IMPLANTS; POROUS ALUMINA; BONE; INTERFACE; SURFACE; OSSEOINTEGRATION; BIOMATERIALS; INVIVO; DOGS,"Scanning electron microscopy (SEM) and its associated technologies have proven invaluable in elucidating the interfacial oral tissue responses to dental implants. Since the dental implant must extend from the mandibular or maxillary jaw, through the oral mucosa, and into the oral cavity, these tissue responses include epithelium, connective tissue and bone. The continual occlusal forces acting upon these tissues reinforce the dynamic character of these tissue responses. Immediately upon implantation, a healing phase begins as a response to the implanted biomaterial. Following this immediate response a longer healing phase occurs, beginning approximately 1 week after implantation, resulting in the modeling of bone to the implant as well as the formation of epithelial attachment to the implant. This later, delayed healing continues throughout the lifetime of the implant since these tissues must die and be replaced by similar tissues. Current dental research employing scanning electron microscopy is now documenting these tissue responses. This paper reviews, in detail, SEM observations of these tissue responses.","MED COLL GEORGIA,SCH DENT,DEPT ORAL SURG,AUGUSTA,GA 30912; MED COLL GEORGIA,SCH DENT,DEPT PROSTHODONT,AUGUSTA,GA 30912; UNIV ALABAMA,DEPT RESTORAT DENT,BIRMINGHAM,AL 35294","STEFLIK, DE (reprint author), MED COLL GEORGIA,SCH DENT,DEPT ORAL PATHOL,AUGUSTA,GA 30912, USA.",,,,,,,64,10,10,0,3,SCANNING MICROSCOPY INT,CHICAGO,"PO BOX 66507, AMF O'HARE, CHICAGO, IL 60666",0891-7035,,,SCANNING MICROSCOPY,Scanning Microsc.,DEC,1990.0,4.0,4,,,,,1021,1038,,,,,,18,Microscopy,Microscopy,EY836,WOS:A1990EY83600015,2094003.0,,,,2019-02-25
J,"HEIMKE, G",,,,"HEIMKE, G",,,BIOMATERIALS HIGHLIGHTS .7. IMPLANTS IN EAR NOSE AND THROAT (ENT) SURGERY,ADVANCED MATERIALS,,,English,Editorial Material,,,,,,,,,,"HEIMKE, G (reprint author), CLEMSON UNIV,COLL ENGN,DEPT BIOENGN,CLEMSON,SC 29634, USA.",,,,,,,0,2,2,0,0,VCH PUBLISHERS INC,DEERFIELD BEACH,"303 NW 12TH AVE, DEERFIELD BEACH, FL 33442-1788",0935-9648,,,ADV MATER,Adv. Mater.,NOV,1990.0,2.0,11,,,,,548,549,,10.1002/adma.19900021109,,,,2,"Chemistry, Multidisciplinary; Chemistry, Physical; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied; Physics, Condensed Matter",Chemistry; Science & Technology - Other Topics; Materials Science; Physics,EK489,WOS:A1990EK48900008,,,,,2019-02-25
J,"PEPPAS, NA; SEFTON, MV",,,,"PEPPAS, NA; SEFTON, MV",,,SPECIAL ISSUE - POLYMERS AS BIOMATERIALS - PREFACE,BIOMATERIALS,,,English,Editorial Material,,,,,,,,,"UNIV TORONTO, TORONTO M5S 1A1, ONTARIO, CANADA","PEPPAS, NA (reprint author), PURDUE UNIV, SCH CHEM ENGN, W LAFAYETTE, IN 47907 USA.",,,,,,,0,0,0,0,0,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0142-9612,1878-5905,,BIOMATERIALS,Biomaterials,NOV,1990.0,11.0,9,,,,,611,611,,10.1016/0142-9612(90)90015-I,,,,1,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,EL949,WOS:A1990EL94900001,,,,,2019-02-25
J,"LANGER, R; CIMA, LG; TAMADA, JA; WINTERMANTEL, E",,,,"LANGER, R; CIMA, LG; TAMADA, JA; WINTERMANTEL, E",,,FUTURE-DIRECTIONS IN BIOMATERIALS,BIOMATERIALS,,,English,Article,,,,,,,,,"SWISS FED INST TECHNOL,DEPT MAT SCI,CH-8092 ZURICH,SWITZERLAND; SWISS FED INST TECHNOL,DEPT MECH ENGN,CH-8092 ZURICH,SWITZERLAND","LANGER, R (reprint author), MIT,DEPT CHEM ENGN,CAMBRIDGE,MA 02139, USA.",,,,,,,74,82,87,0,14,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, OXON, ENGLAND OX5 1GB",0142-9612,,,BIOMATERIALS,Biomaterials,NOV,1990.0,11.0,9,,,,,738,745,,10.1016/0142-9612(90)90038-R,,,,8,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,EL949,WOS:A1990EL94900024,2090313.0,,,,2019-02-25
J,"MARCHANT, RE; JOHNSON, SD; SCHNEIDER, BH; AGGER, MP; ANDERSON, JM",,,,"MARCHANT, RE; JOHNSON, SD; SCHNEIDER, BH; AGGER, MP; ANDERSON, JM",,,A HYDROPHILIC PLASMA POLYMERIZED FILM COMPOSITE WITH POTENTIAL APPLICATION AS AN INTERFACE FOR BIOMATERIALS,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,,,,"CASE WESTERN RESERVE UNIV,DEPT MACROMOLEC SCI,CLEVELAND,OH 44106; CASE WESTERN RESERVE UNIV,DEPT PATHOL,CLEVELAND,OH 44106","MARCHANT, RE (reprint author), CASE WESTERN RESERVE UNIV,DEPT BIOMED ENGN,CLEVELAND,OH 44106, USA.",,,,"NHLBI NIH HHS [HL-40047]; NCRR NIH HHS [RR01296, RR02024]",,,28,34,34,0,5,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,NOV,1990.0,24.0,11,,,,,1521,1537,,10.1002/jbm.820241108,,,,17,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,ED740,WOS:A1990ED74000007,2279984.0,,,,2019-02-25
