PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"ARIZONO, T; OGA, M; SUGIOKA, Y",,,,"ARIZONO, T; OGA, M; SUGIOKA, Y",,,INCREASED RESISTANCE OF BACTERIA AFTER ADHERENCE TO POLYMETHYL METHACRYLATE - AN INVITRO STUDY,ACTA ORTHOPAEDICA SCANDINAVICA,,,English,Article,,,,,,,STAPHYLOCOCCUS-EPIDERMIDIS; PSEUDOMONAS-AERUGINOSA; COLONIZATION; BIOMATERIALS; SLIME,"The pathobiology of total joint prosthesis infection was investigated in vitro. Discs of polymethylmethacrylate (PMMA) were exposed to a suspension containing cells of 10(8) per mL Staphylococcus epidermidis E-46. After 12 hours, exposed discs were rinsed with phosphate-buffered saline and placed in brain heart infusion broth containing antibiotics (2.5 mg per mL of Cephaloridine). After gentle shaking for 24 hours at 37-degrees-C, the bacteria on the PMMA surface were detached and washed with phosphate-buffered saline to remove the antibiotics. Compared with the free bacteria which were detached from the PMMA by sonication immediately after exposure to the antibiotic solution, those allowed to remain adhered to the PMMA surface were more resistant to antibiotics. Scanning electron microscopy showed accumulation of bacteria surrounded by slime on PMMA discs exposed for 12 hours. Our results indicate that resistance of bacteria to antibiotics is increased after adherence to the biomaterial and formation of a slime layer.",,"ARIZONO, T (reprint author), KYUSHU UNIV,FAC MED,DEPT ORTHOPED,3-1-1 MAEDASHI,HIGASHI KU,FUKUOKA 812,JAPAN.",,,,,,,11,30,30,1,3,SCANDINAVIAN UNIVERSITY PRESS,OSLO,"PO BOX 2959 TOYEN, JOURNAL DIVISION CUSTOMER SERVICE, N-0608 OSLO, NORWAY",0001-6470,,,ACTA ORTHOP SCAND,Acta Orthop. Scand.,DEC,1992.0,63.0,6,,,,,661,664,,,,,,4,Orthopedics,Orthopedics,KD134,WOS:A1992KD13400019,1471518.0,,,,2019-02-25
J,"DESGRANGES, P; TARDIEU, M; LOISANCE, D; BARRITAULT, D",,,,"DESGRANGES, P; TARDIEU, M; LOISANCE, D; BARRITAULT, D",,,EXTRACELLULAR-MATRIX COVERED BIOMATERIALS FOR HUMAN ENDOTHELIAL-CELL GROWTH,INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS,,,English,Article,,,,,,HUMAN ENDOTHELIAL CELLS; EXTRACELLULAR MATRIX; BFGF; BIOMATERIALS,FIBROBLAST; PROLIFERATION; PROTEINS; INVITRO,"The aim of this study is to optimize conditions for growing endothelial cells on vascular biomaterials. Bovine cornea endothelial cells (BCEC), stimulated by basic Fibroblast Growth Factor (bFGF) secrete an extracellular matrix (ECM) similar to the Descemet membrane produced in vivo by these cells. This ECM, obtained by removing BCEC with an hypotonic shock can be used as a substratum for other endothelial cell growth. Human endothelial cells (HEC) were purified from omentum that was digested with a solution of collagenase-dispase, then filtered through nylon meshes. The cells were further purified by centrifugation onto a Percoll gradient. A comparative study on the attachment and growth of HEC on various coatings (laminin, poly-L-lysine, fibronectin or ECM) indicates that ECM is the most performing substratum. The quality of this endothelium was confirmed by the presence of factor VIII, and MHC class I and the absence of class II antigens.","CHU HENRI MONDOR,CTR RECH CHIRURG,CNRS,URA 1431,F-94010 CRETEIL,FRANCE; UNIV PARIS 12,RECH CROISSANCE CELLULAIRE REPARAT & REGENERAT TISSULAIRES LAB,F-94000 CRETEIL,FRANCE",,,,,,,,13,10,10,0,0,WICHTIG EDITORE,MILAN,"72/74 VIA FRIULI, 20135 MILAN, ITALY",0391-3988,,,INT J ARTIF ORGANS,Int. J. Artif. Organs,DEC,1992.0,15.0,12,,,,,722,726,,,,,,5,"Engineering, Biomedical; Transplantation",Engineering; Transplantation,KJ346,WOS:A1992KJ34600007,1493948.0,,,,2019-02-25
J,"SLACK, SM; HORBETT, TA",,,,"SLACK, SM; HORBETT, TA",,,CHANGES IN FIBRINOGEN ADSORBED TO SEGMENTED POLYURETHANES AND HYDROXYETHYLMETHACRYLATE-ETHYLMETHACRYLATE COPOLYMERS,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,,POSTADSORPTIVE TRANSITIONS; COMPOSITIONAL ANALYSIS; SURFACE-CHEMISTRY; SOLID-SURFACES; ADSORPTION; PLASMA; POLYMERS; POLYETHYLENE; EXPLANATION; ELUTABILITY,"Fibrinogen adsorption from blood to biomaterials may regulate platelet adhesion and thrombus formation because of fibrinogen's central role in the coagulation cascade and its ability to bind specifically to the platelet membrane glycoprotein (GP) IIb-IIIa. Adsorption of fibrinogen from blood plasma to many materials exhibits a maximum with respect to plasma dilution and exposure time (the Vroman effect). In this study fibrinogen adsorption to several polymers was examined to ascertain the influence of controlled changes in surface chemistry on the Vroman effect. The materials included hydroxyethylmethacrylate-ethylmethacrylate (HEMA/EMA) copolymers, Biomer, and a series of segmented polyurethanes (PEUs), two of which contained fluorinated chain extenders. Each material exhibited maximal adsorption of fibrinogen at intermediate plasma concentrations. Little effect of soft-segment type or molecular weight was observed and no significant differences in fibrinogen adsorption to the fluorinated PEUs were seen. Changes in the strength of fibrinogen attachment to these materials with time after adsorption were also assessed. Fibrinogen adsorbed for 1 min was displaced more readily by blood plasma than that adsorbed for 1 h, regardless of the material. The more hydrophobic polymers exhibited greater retention of adsorbed fibrinogen. In addition, the fraction of fibrinogen retained by polyethylene depended on the amount of fibrinogen adsorbed to the surface, being greatest when the surface loading was the least. These studies indicate that spreading or transition of adsorbed fibrinogen molecules from a weakly to tightly bound state is a general consequence of protein adsorption to solid surfaces.","UNIV WASHINGTON,DEPT CHEM ENGN,SEATTLE,WA 98195; UNIV WASHINGTON,CTR BIOENGN,SEATTLE,WA 98195","SLACK, SM (reprint author), MEMPHIS STATE UNIV,DEPT BIOMED ENGN,MEMPHIS,TN 38152, USA.",,,,"NHLBI NIH HHS [HL25951, HL19419]; NCRR NIH HHS [RR01296]",,,45,39,39,1,4,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,DEC,1992.0,26.0,12,,,,,1633,1649,,10.1002/jbm.820261208,,,,17,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,JY605,WOS:A1992JY60500007,1484067.0,,,,2019-02-25
J,"WATSON, TF; PETROLL, WM; CAVANAGH, HD; JESTER, JV",,,,"WATSON, TF; PETROLL, WM; CAVANAGH, HD; JESTER, JV",,,INVIVO CONFOCAL MICROSCOPY IN CLINICAL DENTAL RESEARCH - AN INITIAL APPRAISAL,JOURNAL OF DENTISTRY,,,English,Article,,,,,,CONFOCAL MICROSCOPY; CLINICAL RESEARCH; APPLICATIONS,,"Until recently, the in vivo microscopic investigation of intraoral tissues at high resolution has been virtually impossible. Confocal microscopy enables high-resolution imaging to be achieved below semitransparent surfaces in intact living specimens, but this may still be impractical for intraoral applications because of the need to stabilize the sample. The development of a steadying objective (X 240 overall mag.) which is held against the sample surface and is focused by moving internal elements, avoids the need for fine adjustment of the living sample under the microscope to achieve a change of focus. It is therefore more comfortable and also reduces the problems of movement due to the pulse. The objective was used with a tandem scanning microscope, with images recorded via a SIT video camera. Using this system internal tooth structure (e.g. enamel prisms/adhesive restoration interfaces) and the lining cells of the gingival crevice through to the junctional epithelium may be examined. It is also possible to image the oral mucous membrane, focusing to the capillary loops in the basal layers, where streaming red blood cells can be seen. Access is limited to the anterior regions as far back as the premolar teeth. Applications could include caries research, soft and hard tissue responses to biomaterials (e.g. implants), wound healing and monitoring the effect of periodontal treatment regimens. This new technique offers numerous exciting opportunities for the microscopic investigation of many clinical operative procedures in vivo, allowing the response of the tissues to be non-destructively monitored, over time, at high resolution.","UNITED MED & DENT SCH GUYS & ST THOMAS HOSP,GUYS HOSP,DEPT CONSERVAT DENT,LONDON,ENGLAND",,,"Watson, Timothy/C-6815-2013","Watson, Timothy/0000-0001-6039-3780",,,,14,23,23,1,2,BUTTERWORTH-HEINEMANN LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, OXON, ENGLAND OX5 1GB",0300-5712,,,J DENT,J. Dent.,DEC,1992.0,20.0,6,,,,,352,358,,10.1016/0300-5712(92)90024-7,,,,7,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine",JY800,WOS:A1992JY80000006,1452876.0,,,,2019-02-25
J,"KESZLER, B; KENNEDY, JP; ZIATS, NP; BRUNSTEDT, MR; STACK, S; YUN, JK; ANDERSON, JM",,,,"KESZLER, B; KENNEDY, JP; ZIATS, NP; BRUNSTEDT, MR; STACK, S; YUN, JK; ANDERSON, JM",,,"AMPHIPHILIC NETWORKS .5. POLAR NONPOLAR SURFACE CHARACTERISTICS, PROTEIN ADSORPTION FROM HUMAN PLASMA AND CELL-ADHESION",POLYMER BULLETIN,,,English,Article,,,,,,,POLYMERS; BIOMATERIALS,"The surface energetics, specifically the balance of polar/nonpolar forces on the interfaces of various amphiphilic networks comprising hydroxyethyl methacrylate (HEMA) or N,N-dimethylacrylamide (DMAAm) hydrophilic chains linked by polyisobutylene (PIB) hydrophobic chains (for brevity H and A networks) in contact with water have been studied by dynamic contact angle measurements. Both networks show large contact-angle hysteresis due to surface heterogenity and surface rearrangements. The balance of the polar/nonpolar forces of the dry networks, as quantitated by the I(p)/W(A)d ratio is much below unity; upon equilibrating in water the I(p)/W(A)d ratio increases but remains below unity. Protein adsorption from human plasma and human monocyte adhesion to A and amphiphilic networks possessing polar/nonpolar ratios lower than unity have been investigated. Both networks adsorb less fibrinogen, albumin and Hageman factor (factor XII) than glass, polyethylene (PE), and polydimethylsiloxane (PDMS). The extent of adsorption of factor VIII on A, H and glass are very similar. Adsorption of IgG on A was appreciable, however, on H it was less than on any of the other surfaces studied. Monocyte adhesion was significantly inhibited on both networks and glass, relative to a positive adhesive surface such as tissue culture polystyrene (TCPS Evidently both the A and the H networks exhibit reduced protein adsorption and cell adhesion which indicates biocompatibility of these networks at blood contacting surfaces. The ratio of the polar/nonpolar forces expresed by the I(p)/W(A)d ratio may be useful to predict low protein adsorption and cell adhesion on polymer surfaces.","UNIV AKRON,INST POLYMER SCI,AKRON,OH 44325; CASE WESTERN RESERVE UNIV,INST PATHOL & MACROMOLEC,CLEVELAND,OH 44106; RES INST PLAST IND,H-1950 BUDAPEST,HUNGARY",,,,,,,,27,44,45,2,16,SPRINGER VERLAG,NEW YORK,"175 FIFTH AVE, NEW YORK, NY 10010",0170-0839,,,POLYM BULL,Polym. Bull.,DEC,1992.0,29.0,6,,,,,681,688,,10.1007/BF01041155,,,,8,Polymer Science,Polymer Science,KB530,WOS:A1992KB53000013,,,,,2019-02-25
J,"PASQUIER, G; HARDOUIN, P; FONTAINE, C; MIGAUD, H; DUQUENNOY, A",,,,"PASQUIER, G; HARDOUIN, P; FONTAINE, C; MIGAUD, H; DUQUENNOY, A",,,PRACTICAL VALUE OF BONE FILLING MATERIALS IN ORTHOPEDICS,REVUE DU RHUMATISME,,,French,Review,,,,,,SURGERY; BONE GRAFT; BONE FILLING; BIOMATERIALS,HYDROXYAPATITE; CORAL; REPLACEMENT; SUBSTITUTE; FUSION; GRAFT,,"INST CALOT, INST RECH MALAD SQUELETTE, F-62608 Berck Sur Mer, FRANCE; CTR HOSP LILLE, SERV ORTHOPED B, LILLE, FRANCE",,,,,,,,36,4,4,0,0,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,ISSY-LES-MOULINEAUX,"65 RUE CAMILLE DESMOULINS, CS50083, 92442 ISSY-LES-MOULINEAUX, FRANCE",1169-8446,,,REV RHUM,Rev. Rhum.,DEC,1992.0,59.0,12,,,,,821,828,,,,,,8,Rheumatology,Rheumatology,KF186,WOS:A1992KF18600008,1308973.0,,,,2019-02-25
J,"HARDOUIN, P",,,,"HARDOUIN, P",,,BIOMATERIALS OF THE LOCOMOTOR SYSTEM,REVUE DU RHUMATISME,,,French,Review,,,,,,BIOMATERIALS,BONE,,,"HARDOUIN, P (reprint author), INST CALOT, IRMS, F-62608 Berck Sur Mer, FRANCE.",,,,,,,41,0,1,0,0,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,ISSY-LES-MOULINEAUX,"65 RUE CAMILLE DESMOULINS, CS50083, 92442 ISSY-LES-MOULINEAUX, FRANCE",1169-8446,,,REV RHUM,Rev. Rhum.,DEC,1992.0,59.0,12,,,,,829,833,,,,,,5,Rheumatology,Rheumatology,KF186,WOS:A1992KF18600009,1308974.0,,,,2019-02-25
J,"MIGONNEY, V; LACROIX, MD; DOUZON, C; JOZEFOWICZ, M",,,,"MIGONNEY, V; LACROIX, MD; DOUZON, C; JOZEFOWICZ, M",,,CHEMICAL MODIFICATIONS OF INSOLUBLE POLYSTYRENE DERIVATIVES,JOURNAL OF APPLIED POLYMER SCIENCE,,,English,Article,,,,,,,THROMBIN-ANTITHROMBIN COMPLEX; CHROMATOGRAPHY,"The development of biospecific polymeric biomaterials requires new methods of chemical treatment that may be achieved whatever the involved polymeric surface without any degradation of the macromolecular structure. To check whether substitution of polymeric surfaces by epoxy groups could be a suitable way of synthesis to reach this goal, functionalization of polystyrene by epoxy groups was carried out. The respective reactions of carboxylic acids, alcohols, aldehydes, hydrochloric and sulfuric acid, and benzylamines have been extensively studied and suitable characterization has been performed on the respective polystyrene derivatives using infrared spectroscopy, elemental analysis, argentimetric titration, and acidimetric titration. In addition, a method of titration of the epoxy groups' content of insoluble functionalized polymers has been developed by the use of C-14-labeled benzylamine.",,"MIGONNEY, V (reprint author), UNIV PARIS 13,RECH MACROMOLEC LAB,AVE JEAN BAPTISTE CLEMENT,F-93430 VILLETANEUSE,FRANCE.",,,"MIGONNEY, VERONIQUE/0000-0002-1055-3720",,,,12,10,10,0,3,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012",0021-8995,,,J APPL POLYM SCI,J. Appl. Polym. Sci.,NOV 5,1992.0,46.0,7,,,,,1151,1158,,10.1002/app.1992.070460704,,,,8,Polymer Science,Polymer Science,JT357,WOS:A1992JT35700004,,,,,2019-02-25
J,"VOORHEES, KJ; DELUCA, SJ; NOGUEROLA, A",,,,"VOORHEES, KJ; DELUCA, SJ; NOGUEROLA, A",,,IDENTIFICATION OF CHEMICAL BIOMARKER COMPOUNDS IN BACTERIA AND OTHER BIOMATERIALS BY PYROLYSIS TANDEM MASS-SPECTROMETRY,JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,,,English,Article,,,,,,BACTERIA; BIOMARKER COMPOUNDS; PYROLYSIS; TANDEM MASS SPECTROMETRY,CURIE-POINT PYROLYSIS; IONIZATION PYROLYSIS; FATTY-ACIDS; MICROORGANISMS,"Pyrolysis-mass spectrometry has been used successfully in the past to classify bacteria. The majority of these studies have required statistical procedures and have not had the capability to identify the biochemicals responsible for the differentiation. The focus of this study has been to investigate by tandem mass spectrometry the uniqueness of a series of pyrolytic biomarker compounds found in bacteria. Ions at m/z 79, 113, 117, 126 and 135 representing dipicolinic acid, diketopiperazine. indole, thymine and adenine were selected as indicators of sporulation material, proteins, amino acids and nucleic acids. The results from a diverse sample set including bacteria, proteins, phages, and atmospheric samples, showed that the daughter ion spectra from m/z 79, 113, 117 and 135 contained peaks that were unique to the biomaterials. The daughter ion spectrum from m/z 126 was less diagnostic than the other four spectra.",,"VOORHEES, KJ (reprint author), COLORADO SCH MINES,DEPT CHEM & GEOCHEM,GOLDEN,CO 80401, USA.",,,,,,,24,26,26,2,5,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0165-2370,,,J ANAL APPL PYROL,J. Anal. Appl. Pyrolysis,NOV,1992.0,24.0,1,,,,,1,21,,10.1016/0165-2370(92)80001-3,,,,21,"Chemistry, Analytical; Energy & Fuels; Engineering, Chemical",Chemistry; Energy & Fuels; Engineering,KD094,WOS:A1992KD09400001,,,,,2019-02-25
J,"HUANG, MX; LEE, ML",,,,"HUANG, MX; LEE, ML",,,HYDROGEL POLYMER-COATINGS FOR CAPILLARY ELECTROPHORETIC SEPARATION OF PROTEINS,JOURNAL OF MICROCOLUMN SEPARATIONS,,,English,Article,,,,,,CAPILLARY ELECTROPHORESIS; COLUMN TECHNOLOGY; HYDROGEL POLYMER COATINGS; PROTEINS,ZONE ELECTROPHORESIS; FUSED-SILICA; COMPOSITES; BIOMATERIALS; PEPTIDES; BUFFERS,"Three hydrogel polymers, poly(2-hydroxypropylmethacrylate), poly(2-hydroxyethylmethacrylate), and hydroxypropylcellulose, were coated and immobilized on fused silica capillary surfaces using three different methods, all involving modification of the surfaces before polymerization and/or cross-linking. Since the hydrogel polymers swelled in aqueous solution and allowed permeation of low-molecular-weight compounds, an equilibrated state was attained between the hydrogel polymer layers and the buffer solution, which eliminated the interactions between proteins and the capillary surface, and allowed highly efficient and reproducible capillary electrophoretic separations of both basic and acidic proteins. The experimental results indicated that silanol groups on the capillary surface were covered and phosphate anions were trapped in the coating layers, which produced defined, but reduced, electroosmotic flows when compared to uncoated capillaries. High resolution separations of ribonuclease B variants and cytochrome c proteins from different sources were obtained.","BRIGHAM YOUNG UNIV,DEPT CHEM,PROVO,UT 84602","LEE, ML (reprint author), BRIGHAM YOUNG UNIV,DEPT CHEM,PROVO,UT 84602, USA.",,,,,,,26,25,26,0,2,MICROSEPARATIONS INC,PROVO,"DEPT CHEM BRIGHAM YOUNG UNIV, PROVO, UT 84602-1022",1040-7685,,,J MICROCOLUMN SEP,J. Microcolumn Sep.,NOV-DEC,1992.0,4.0,6,,,,,491,496,,10.1002/mcs.1220040605,,,,6,"Chemistry, Analytical",Chemistry,KB860,WOS:A1992KB86000004,,,,,2019-02-25
