PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Craig, RG; LeGeros, RZ",,,,"Craig, RG; LeGeros, RZ",,,Early events associated with periodontal connective tissue attachment formation on titanium and hydroxyapatite surfaces,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,cementum; collagen synthesis; hydroxyapatite; periodontal connective tissues; titanium,ALKALINE-PHOSPHATASE ACTIVITY; HUMAN GINGIVAL FIBROBLASTS; IN-VITRO; ENAMEL MATRIX; LIGAMENT; CELLS; PROLIFERATION; EXPRESSION; IMPLANTS; REGENERATION,"Endosseous dental implants can support at least three types of biomaterial/connective tissue interfaces: osseointegration, fibro-osseous integration, and periodontal connective tissue attachment. Although a periodontal connective tissue attachment offers distinct advantages, only osseointegration and fibro-osseous integration are at present clinically achievable. Recent studies indicate a periodontal regeneration-competent cell population and an appropriate biomaterial substrate both are required for periodontal connective attachment formation on biomaterial surfaces. We therefore have developed an in vitro model to characterize the effects of various biomaterial substrates on the early events of periodontal connective tissue attachment formation. Primary cultures of periodontal ligament and gingival connective tissue cells were cultured on uncoated (control) and coated (titanium- and hydroxyapatite-coated) tissue culture plastic, and the level of cell proliferation, collagen, and noncollagen protein synthesis, alkaline phosphatase activity, and expression of a 42 kD cementum extracellular matrix protein were measured over 5, 7, and 9 days in culture. While all three substrates supported cell attachment, proliferation, and protein synthesis, only uncoated and titanium-coated tissue culture plastic supported expression of the cementum extracellular matrix protein after 9 days of culture. In addition, the levels of cell proliferation and collagen and noncollagen protein synthesis for cells grown on hydroxyapatite-coated surfaces lagged behind cells cultured on the control or titanium-coated surfaces at each of the three time points. These data suggest that biomaterial substrates markedly can influence the temporal sequence of extracellular matrix proteins associated with periodontal connective tissue attachment formation. In addition to surface composition (titanium versus hydroxyapatite), surface properties (e.g., topography) also may have an effect on periodontal connective tissue attachment formation. This model may be of use in designing biomaterials to support the formation of periodontal connective tissue attachment in vivo. (C) 1999 John Wiley & Sons, Inc.","NYU, Coll Dent, Div Basic Sci, New York, NY 10010 USA; NYU, Coll Dent, Div Restorat Sci, New York, NY 10010 USA; NYU, Coll Dent, Div Surg Sci, New York, NY 10010 USA","Craig, RG (reprint author), NYU, Coll Dent, Div Basic Sci, Mail Code 9401,345 E 24th St, New York, NY 10010 USA.",,,,"NIDCR NIH HHS [DE 12388, DE10094]",,,49,23,28,0,4,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012 USA",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,DEC 15,1999.0,47,4,,,,,585,594,,10.1002/(SICI)1097-4636(19991215)47:4<585::AID-JBM16>3.3.CO;2-F,,,,10,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,241YD,WOS:000082910700016,10497295.0,,,,2019-02-25
J,"Puma, M; Suarez, N; Kohn, J",,,,"Puma, M; Suarez, N; Kohn, J",,,Conductivity and high-temperature relaxation of tyrosine-derived polyarylates measured with thermal stimulated currents,JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS,,,English,Article; Proceedings Paper,Meeting of the American-Physical-Society-Division-of-High-Polymer-Physics,"MAR, 1999","ATLANTA, GEORGIA",Amer Phys Soc Div High Polymer Phys,,thermostimulated currents; glass transition; ct relaxation; dipolar model; conduction properties; biopolymers,MACROMOLECULAR ENTANGLEMENTS; POLYMERS; BIOMATERIALS; DESIGN; DSC,"Thermal-stimulated polarization and depolarization experiments without blocking electrodes are performed on tyrosine-derived polyarylates with different backbone lengths. The experiments on the different samples are carried out using the same thermal history throughout the entire characterization process. The high-temperature current rise caused by the conductivity of the samples is studied with a simple model that utilizes an approximation of the Williams-Landel-Ferry (WLF) relaxation time. The conductivity data is well reproduced except for temperatures well below the glass-transition temperature and for small currents. The glass-transition peak is modeled with a phenomenological expression valid near T-g, which is able to describe the glass relaxation with a minimum number of parameters. The conduction and the glass-transition relaxation are studied versus the structural changes for the different samples. It is found that the conductivity and the glass-transition temperature shift to lower temperatures as the methylene groups in the backbone increase. Furthermore, if the experimental data is presented as a function of the reduced temperature, the shape of the glass-transition relaxation for the different samples is independent of the polymer backbone length. (C) 1999 John Wiley & Sons, Inc.","ENINSEL, Inst Ingn, Caracas, Venezuela; Univ Simon Bolivar, Dept Fis, Caracas 1080A, Venezuela; Rutgers State Univ, Piscataway, NJ 08854 USA","Puma, M (reprint author), 3029 Ozark Circle, Chattanooga, TN 37415 USA.",,,,,,,16,5,5,0,1,JOHN WILEY & SONS INC,NEW YORK,"605 THIRD AVE, NEW YORK, NY 10158-0012 USA",0887-6266,,,J POLYM SCI POL PHYS,J. Polym. Sci. Pt. B-Polym. Phys.,DEC 15,1999.0,37,24,,,,,3504,3511,,10.1002/(SICI)1099-0488(19991215)37:24<3504::AID-POLB11>3.3.CO;2-P,,,,8,Polymer Science,Polymer Science,261ZW,WOS:000084042100011,,,,,2019-02-25
J,"Filip, P; Musialek, J; Michalek, K; Yen, M; Mazanec, K",,,,"Filip, P; Musialek, J; Michalek, K; Yen, M; Mazanec, K",,,TiAlV/Al(2)O(3)/TiNi shape memory alloy smart composite biomaterials for orthopedic surgery,MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,,,English,Article; Proceedings Paper,International Conference on Martensitic Transformations,"DEC 07-11, 1998","SAN CARLOS BARILO, ARGENTINA","Fdn Antorchas, Consejo Nacl Invest Cient Tecnicas, Inst Invest Cient & Tecnicas Fuerzas Armadas",,shape memory alloys; biomaterials; orthopedic surgery; composites; NiTi,TINI; COATINGS; CLAMPS,"The structure and properties of TiNi/Al(2)O(3)/Ti-alloy composite implant materials consisting of a Ti-alloy body and active TiNi shape memory elements is discussed The structure of composites and ceramic/metal interfaces were evaluated by scanning electron microscopy (SEM), transmission electron microscopy (TEM), accompanied with energy and wave dispersive X-ray microanalysis (EDX, WDX). Mechanical testing of composite materials was performed using an Inova tensile/compression test machine. Bone/implant interaction and design parameters are also discussed. The structure of the TiNi alloy is modified in the casting process. Similar effects to those observed in the annealing process occurred in TiNi materials during casting and cooling of composites. The Ti-alloy matrix is composed of a mixture of cc and 13 phases. The interaction between the ceramic layer and the metallic components depends on the cooling rate in the casting process. Different reaction products were identified on the Al(2)O(3)/metal interface with dependence on the applied cooling rate of the composite. The fatigue life of the investigated composites is greater than 10(7) cycles, and mechanical properties are sufficient to carry loads expected in human medicine. A newly developed smart implant enables quasielastic fixation with an active role of bone tissue in load carrying process, which has a positive impact on treatment. (C) 1999 Elsevier Science S.A. All rights reserved.","Tech Univ Ostrava, Inst Mat Engn, Ostrava, Czech Republic; Municipal Hosp, Ostrava, Czech Republic; Tech Univ Ostrava, Inst Steel Prod Technol, Ostrava, Czech Republic; So Illinois Univ, Mat Technol Ctr, Carbondale, IL 62901 USA","Filip, P (reprint author), Tech Univ Ostrava, Inst Mat Engn, Ostrava, Czech Republic.",filip@siu.edu,,,,,,16,4,6,1,6,ELSEVIER SCIENCE SA,LAUSANNE,"PO BOX 564, 1001 LAUSANNE, SWITZERLAND",0921-5093,,,MAT SCI ENG A-STRUCT,Mater. Sci. Eng. A-Struct. Mater. Prop. Microstruct. Process.,DEC 15,1999.0,273,,,,SI,,769,774,,10.1016/S0921-5093(99)00413-X,,,,6,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",Science & Technology - Other Topics; Materials Science; Metallurgy & Metallurgical Engineering,270WP,WOS:000084560400136,,,,,2019-02-25
J,"Liu, DM; Chen, IW",,,,"Liu, DM; Chen, IW",,,Encapsulation of protein molecules in transparent porous silica matrices via an aqueous colloidal sol-gel process,ACTA MATERIALIA,,,English,Article,,,,,,sol-gel; powder processing; optical spectroscopy; biomaterials; composite,GLOBULAR-PROTEINS; GLUCOSE BIOSENSOR; GLASSES; ADSORPTION; PARTICLES,"Encapsulation of several biologically important proteins, cytochrome c, catalase, myoglobin, and hemoglobin, into transparent porous silica matrices by an aqueous colloidal sol-gel process that requires no alcohol is reported. Optical characterization indicates a successful retention of protein conformation after encapsulation. The conformation retention is strongly correlated to both the rate of gelation and the subsequent drying speed. Using hemoglobin as a model protein, a higher colloidal solid concentration and a lower synthesis pH were found, both causing faster gelation, resulting in a better retention of conformation. Hemoglobin encapsulated in a thin film, which dries faster, also showed a better retention than in the bulk. This is attributed to the fact that when a protein is isolated, and especially when it is confined to a space close to its own dimensions, conformational changes are sterically hindered, hence the structural stability. Enzymatic activity of bovine liver catalase was also monitored and showed a remarkable improvement when encapsulated using the aqueous colloidal process, compared to using the conventional alkoxide-based process. Thus, the aqueous colloidal sol-gel process offers a promising alternative to the conventional sol-gel process for encapsulating biomolecules into transparent, porous matrices. (C) 1999 Acta Metallurgica Inc. Published by Elsevier Science Ltd. All rights reserved.","Univ Penn, Dept Mat Sci & Engn, Philadelphia, PA 19104 USA","Chen, IW (reprint author), Univ Penn, Dept Mat Sci & Engn, 3231 Walnut St, Philadelphia, PA 19104 USA.",,,"Chen, I-Wei/0000-0002-4045-4467",,,,28,69,74,1,17,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",1359-6454,,,ACTA MATER,Acta Mater.,DEC 10,1999.0,47,18,,,,,4535,4544,,10.1016/S1359-6454(99)00335-3,,,,10,"Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",Materials Science; Metallurgy & Metallurgical Engineering,269RW,WOS:000084492200007,,,,,2019-02-25
J,"Kwok, CS; Wan, CX; Hendricks, S; Bryers, JD; Horbett, TA; Ratner, BD",,,,"Kwok, CS; Wan, CX; Hendricks, S; Bryers, JD; Horbett, TA; Ratner, BD",,,Design of infection-resistant antibiotic-releasing polymers: I. Fabrication and formulation,JOURNAL OF CONTROLLED RELEASE,,,English,Article,,,,,,controlled release; coating; infection; ciprofloxacin; polyurethane,BIOFILMS; CIPROFLOXACIN,"Biomaterials-related infections are often observed with prosthetic implants and in many cases result in the failure of the devices. To design a biomedically useful polymer that is intrinsically infection-resistant, we have developed a ciprofloxacin-loaded polyurethane (PU) matrix that releases antibiotic locally at the implant surface, thereby minimizing bacterial accumulation. We report here the methods of fabrication and formulation for making such antibiotic-loaded devices, as well as evidence of their bactericidal properties. Specifically, various pore-forming agents and drug loadings were examined. An optimum formulation consisting of BIOSPAN(R) PU, poly(ethylene glycol) and ciprofloxacin offered the longest effective period of sustained release (5 days). The bactericidal efficacy of the released ciprofloxacin against Pseudomonas aeruginosa (PA) was four times that of the control PU without antibiotics. This bactericidal efficiency was due to an increase in the PA detachment from the surface. These observations suggested that the released ciprofloxacin was biologically active in preventing the bacteria from permanently adhering to the substratum, and thus decreasing the possibility of biofilm-related infection. (C) 1999 Elsevier Science B.V. All rights reserved.","Univ Washington, Dept Chem Engn, Seattle, WA 98195 USA; Univ Washington, Dept Bioengn, Seattle, WA 98195 USA; Montana State Univ, Coll Engn, Dept Chem Engn, Bozeman, MT 59717 USA; Univ Connecticut, Ctr Hlth, Ctr Biomat, Farmington, CT 06030 USA","Ratner, BD (reprint author), Univ Washington, Dept Chem Engn, Box 351750, Seattle, WA 98195 USA.",,,,NCRR NIH HHS [RR01296],,,17,40,41,1,16,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0168-3659,,,J CONTROL RELEASE,J. Control. Release,DEC 6,1999.0,62,3,,,,,289,299,,10.1016/S0168-3659(99)00106-6,,,,11,"Chemistry, Multidisciplinary; Pharmacology & Pharmacy",Chemistry; Pharmacology & Pharmacy,254YL,WOS:000083641800001,10528067.0,,,,2019-02-25
J,"Yamamoto, A; Honma, R; Tanaka, A; Sumita, M",,,,"Yamamoto, A; Honma, R; Tanaka, A; Sumita, M",,,Generic tendency of metal salt cytotoxicity for six cell lines,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH,,,English,Article,,,,,,biomaterials; cytotoxicity; metal salts; human diploid fibroblasts; human neuroblastoma; murine monocyte-macrophage,IN-VITRO; FIBROBLASTS; METABOLISM; CATIONS; INVITRO; IONS,"Systematic cytotoxicity evaluation of various metallic elements may contribute to the development of new metallic biomaterials with superior biocompatibility. It is generally reported that the cytotoxicity of a chemical differs with cell lines. However, our previous study revealed a high correlation in the cytotoxicity of 43 metal salts between two murine cell Lines. If there is any generic tendency toward metal salt cytotoxicity for many kinds of cells, that information is helpful for the determination of the chemical composition of new metallic biomaterials that are expected to have lower cytotoxicity. In this study, the cytotoxicity of 12 metal salts was evaluated using four cell lines, and the results were compared, including those for two other cell lines obtained in our previous study. A metal salt concentration that reduced cell viability to 50% of that without any metal salt (IC50) was used as an index to compare the metal salt cytotoxicity between cell lines. The correlation was statistically proved by the IC(50)s of 12 metal salts among these cell Lines (p < 0.01), suggesting the existence of a generic tendency to metal salt cytotoxicity beyond cell lines. The metal salt order of toxicity from the highest was K2Cr2O7, AgNO3 VCl3, SbCl3,CuCl2,CoCl2, NiCl2, ZnCl2,Cr(NO3)(3), FeCl3, TiCl4, and Al(NO3)(3). The sensitivity for metal salt. cytotoxicity differed with cell lines; IMR-32 had the highest sensitivity among the six cell lines. (C) 1999 John Wiley & Sons, Inc.","Natl Res Inst Met Sci & Technol Agcy, Tsukuba, Ibaraki 3050047, Japan","Yamamoto, A (reprint author), Natl Res Inst Met Sci & Technol Agcy, 1-2-1 Sengen, Tsukuba, Ibaraki 3050047, Japan.",akikoya@nrim.go.jp,,,,,,27,25,25,0,8,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN, NJ 07030 USA",0021-9304,,,J BIOMED MATER RES,J. Biomed. Mater. Res.,DEC 5,1999.0,47,3,,,,,396,403,,10.1002/(SICI)1097-4636(19991205)47:3<396::AID-JBM15>3.0.CO;2-R,,,,8,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,239UV,WOS:000082788800015,10487892.0,,,,2019-02-25
J,"Ehlers, EM; Fuss, M; Rohwedel, J; Russlies, M; Kuhnel, W; Behrens, P",,,,"Ehlers, EM; Fuss, M; Rohwedel, J; Russlies, M; Kuhnel, W; Behrens, P",,,"Development of a biocomposite to fill out articular cartilage lesions. Light, scanning and transmission electron microscopy of sheep chondrocytes cultured on a collagen I/III sponge",ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER,,,English,Article,,,,,,articular cartilage; chondrocyte culture; collagen sponge; autologous chondrocyte transplantation; transmission electron microscopy,KNEE,"The regenerative capacity of hyaline articular cartilage is limited. Thus, lesions of this tissue are a pro-arthrotic factor, and up to now the conservative treatment of cartilage lesions and arthrosis does not yield satisfying results. Therefore, autologous transplantation of articular chondrocytes is being investigated in a variety of different assays. The aim of our study was to create a mechanically stable cell-matrix implant with viable and active chondrocytes which could serve to fill out articular lesions created in the knees of sheep. For this purpose, articular cartilage was collected from knee lesions, chondrocytes were liberated enzymatically and seeded in culture flasks and cultured till confluency. Cells were then trypsinized and grown on a type I/III collagen matrix (Chondro-Gide(TM) Geistlich Biomaterials, Wolhusen, Switzerland) for 3, 6 and 10 days before being fixed and embedded for electron microscopy by routine methods. Scanning electron microscopy was performed after dehydration in acetone, critical point drying and sputter-coating with gold-paladium, Light microscopically, clusters of chondrocytes can be seen on the surface of the matrix with a few cells growing into the matrix. Transmission electron microscopic photographs yield a rather differentiated chondrocyte-like appearance, which is evidence of a matrix-induced redifferentiation after dedifferentiation during the growth period in the culture flasks. Scanning electron microscopic results show large, flattened chondrocytes without signs of differentiation on plastic, whereas chondrocytes grown on the Chondro-Gide(TM) sponge show a more roundish aspect wrapping firmly around the collagen fibrils, exhibiting numerous contacts with the matrix. This cell-matrix biocomposite can now serve to fill out articular cartilage lesions created in the knees of sheep.","Univ Lubeck, Inst Anat, Orthopad Klin, D-23538 Lubeck, Germany; Univ Lubeck, Inst Med Mol Biol, D-23538 Lubeck, Germany","Ehlers, EM (reprint author), Univ Lubeck, Inst Anat, Orthopad Klin, Ratzeburger Allee 160, D-23538 Lubeck, Germany.",,,,,,,9,49,49,0,3,URBAN & FISCHER VERLAG,JENA,"BRANCH OFFICE JENA, P O BOX NO.100 537, D-07705 JENA, GERMANY",0940-9602,,,ANN ANAT,Ann. Anat.-Anat. Anz.,DEC,1999.0,181,6,,,,,513,518,,10.1016/S0940-9602(99)80055-7,,,,6,Anatomy & Morphology,Anatomy & Morphology,262TR,WOS:000084083000002,10609047.0,,,,2019-02-25
J,"Alt, E; Leipold, F; Milatovic, D; Lehmann, G; Heinz, S; Schomig, A",,,,"Alt, E; Leipold, F; Milatovic, D; Lehmann, G; Heinz, S; Schomig, A",,,Hydrogen peroxide for prevention of bacterial growth on polymer biomaterials,ANNALS OF THORACIC SURGERY,,,English,Article,,,,,,,COAGULASE-NEGATIVE STAPHYLOCOCCI; ANTIBIOTIC-PROPHYLAXIS; INTRAVENOUS CATHETERS; PACEMAKER SURGERY; INFECTION; ADHERENCE; ADHESION; DEVICES,"Background. Despite widespread use of potent antibiotics, infections of artificial implants and catheters are of increasing concern. We tested whether local treatment with 3% hydrogen peroxide (H2O2), long known as an inexpensive wound disinfectant, could prevent or reduce bacterial growth on polymer biomaterials. Methods. Two-centimeter-long pieces of polyurethane and silicone tubing were contaminated with a standardized solution of Staphylococcus epidermidis (10(5)/mL) and then rinsed and wiped with saline (0.9%) solution. Bacterial growth was assessed after incubation at 37 degrees C for 24 hours. Bacterial colonies were compared for the following treatments: wiping only with saline; wiping with 1.5%, 2%, or 3% H2O2; pretreating biomaterials with 3% H2O2 and subsequent contamination for 2 and 4 hours without treatment after contamination; and contamination of tubings I month after pretreatment with 30% H2O2. The effect of 3% H2O2 was also assessed on contamination with Escherichia coli. Results. Bacterial growth was reduced by more than 99% when the contaminated tubes were treated with 3% H2O2 compared with saline control (p < 0.001). Lower concentrations of H2O2 were less effective. The length of the contamination period had no influence on the effectiveness of H2O2 when used on polyurethane but did with silicone tubings. Pretreatment with H2O2 1 month before contamination still reduced bacterial growth rate by 90% on polyurethane and by 75% on silicone tubings. Comparable effects on bacterial growth rate were observed for staphylococci (-90%, p < 0.001) and escherichiae (-90%, p < 0.001). Conclusions. Local treatment with 3% H2O2 significantly reduced bacterial growth on polymer biomaterials even for I month after treatment. This finding might influence clinical strategies of prevention of foreign body infection. (C) 1999 by The Society of Thoracic Surgeons.","Tech Univ Munich, Klinikum Rechts Isar, Med Klin, D-81675 Munich, Germany","Alt, E (reprint author), Tech Univ Munich, Klinikum Rechts Isar, Med Klin, Ismaninger Str 22, D-81675 Munich, Germany.",,,,,,,22,12,12,0,7,ELSEVIER SCIENCE INC,NEW YORK,"655 AVENUE OF THE AMERICAS, NEW YORK, NY 10010 USA",0003-4975,,,ANN THORAC SURG,Ann. Thorac. Surg.,DEC,1999.0,68,6,,,,,2123,2128,,10.1016/S0003-4975(99)00832-2,,,,6,Cardiac & Cardiovascular Systems; Respiratory System; Surgery,Cardiovascular System & Cardiology; Respiratory System; Surgery,270XY,WOS:000084563500032,10616988.0,,,,2019-02-25
J,"James, K; Levene, H; Parsons, JR; Kohn, J",,,,"James, K; Levene, H; Parsons, JR; Kohn, J",,,Small changes in polymer chemistry have a large effect on the bone-implant interface: evaluation of a series of degradable tyrosine-derived polycarbonates in bone defects,BIOMATERIALS,,,English,Article,,,,,,tyrosine-based polycarbonate; biomaterial; prosthesis-bone interface; bone-material interactions; degradable polymer; poly(DTE carbonate); structure-property relationships; calcium ion chelation; bone apposition; bone bonding,POLY(L-LACTIC ACID); APATITE FORMATION; BIOMATERIALS,"In a series of homologous, tyrosine-based polycarbonates, small changes in the chemical structure of the polymer pendent chain were found to affect the bone response in a long-term (1280 d) implantation study. Identically sized pins, prepared from poly(DTE carbonate), poly(DTB carbonate), poly(DTH carbonate), and poly(DTO carbonate) were implanted transcortically in the proximal tibia and the distal femur of skeletally mature New Zealand White Rabbits. The tissue response at the bone-implant interface was characterized in terms of the absence of a fibrous capsule (direct bone apposition, indicative of a bone bonding response) or the presence of a fibrous capsule (referred to as the encapsulation response). The relative frequency of direct bone apposition versus encapsulation was recorded for each polymer throughout the entire period of the study. While all four polymers were tissue compatible, there was a correlation between the chemical structure of the pendent chain and the type of bone response observed, with poly(DTE carbonate) having the highest tendency to elicit direct bone apposition. Based on in vivo degradation data and the ability of moder polymers with carboxylate groups at their surface to chelate calcium ions, it is proposed that the ability of poly(DTE carbonate) to bond to bone is caused by the facile hydrolysis of the pendent ethyl eater groups which creates calcium ion chelation sites on the polymer surface. The incorporation of calcium chelation sites into the chemical structure of an implant material appears to be a key requirement if direct bone apposition/bone bonding is desired. This study demonstrates that very subtle changes in the chemical composition of an implant material can have significant effects on the long-term tissue response in a clinically relevant model. (C) 1999 Elsevier Science Ltd. All rights reserved.","Rutgers State Univ, Dept Chem, New Brunswick, NJ 08903 USA; Univ Med & Dent New Jersey, Sch Med, Dept Orthopaed, Newark, NJ 07103 USA","Kohn, J (reprint author), Rutgers State Univ, Dept Chem, 610 Taylor Rd, Piscataway, NJ 08854 USA.",,,,NIGMS NIH HHS [GM39455],,,24,75,78,0,11,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0142-9612,,,BIOMATERIALS,Biomaterials,DEC,1999.0,20,23-24,,,,,2203,2212,,10.1016/S0142-9612(99)00151-9,,,,10,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,266BQ,WOS:000084281100002,10614927.0,,,,2019-02-25
J,"Kao, WYJ",,,,"Kao, WYJ",,,Evaluation of protein-modulated macrophage behavior on biomaterials: designing biomimetic materials for cellular engineering,BIOMATERIALS,,,English,Article,,,,,,foreign body giant cells; polyurethane; polyethyleneglycol; peptide; inflammation,HUMAN-PLASMA FIBRONECTIN; HEPARIN-BINDING DOMAIN; BIO-MEDICAL POLYMERS; IN-VIVO; POLYURETHANE BIOSTABILITY; THEORETICAL-ANALYSIS; ADHESION; COMPLEMENT; PEPTIDE; CELLS,"Macrophage is a central cell type in directing host inflammatory and immune processes; hence, its response to biomaterials (i.e. adhesion and giant cell formation) has a direct impact on material biostability and biocompatibility. In this paper, several in vitro and in vivo techniques from previously published results and current investigations are highlighted and presented to demonstrate means of delineating a part of the complex molecular mechanisms involved in the interaction between biomaterials and macrophages. Complement component C3 was found critical in mediating the initial adhesion of human macrophages on medical-grade polyetherurethaneureas. From radioimmunoassay studies, the presence of a diphenolic antioxidant additive in polyetherurethaneureas increased the propensity for complement upregulation but did not affect adherent macrophage density. The subcutaneous cage-implant system was utilized to confirm the role of interleukin-4 in the fusion of adherent macrophages to form foreign body giant cells on polyurethanes in vivo. To probe the function-structural relationship of macrophage-active proteins, fibronectin was employed as a model in the formulation of synthetic oligopeptide mimetics. Peptides were grafted onto previously developed, non-cell adhesive polyethyleneglycol-based networks. The results indicate that grafted tripeptide RGD sequence supported higher adherent macrophage density than surfaces grafted with other peptides such as PHSRN and PRRAPV sequences. However, the formation of foreign body giant cells on peptide-grafted networks was highly dependent on the relative orientation between PHSRN and RGD sequences located in a single peptide. (C) 1999 Elsevier Science Ltd. All rights reserved.","Univ Wisconsin, Sch Pharm, Madison, WI 53706 USA; Univ Wisconsin, Dept Biomed Engn, Madison, WI 53706 USA","Kao, WYJ (reprint author), Univ Wisconsin, Sch Pharm, 425 N Charter St, Madison, WI 53706 USA.",,,,"NHLBI NIH HHS [HL-09601, HL-47300, HL-25239]",,,52,101,105,1,22,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0142-9612,,,BIOMATERIALS,Biomaterials,DEC,1999.0,20,23-24,,,,,2213,2221,,10.1016/S0142-9612(99)00152-0,,,,9,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science,266BQ,WOS:000084281100003,10614928.0,,,,2019-02-25
